0.00015,1.00000,43.46241,1.00000,1.65038,0
0.09395,0.44704,43.23624,1.00000,0.39889,2
0.09367,0.65594,45.32862,1.00000,1.58026,3
0.00009,0.88506,44.06852,0.00000,1.68143,0
0.05135,0.59827,9.24694,1.00000,0.17817,4
0.08021,0.60734,52.54841,1.00000,0.42423,2
0.09252,0.55984,45.54563,1.00000,1.53015,3
0.00021,1.00000,45.11420,1.00000,1.71178,0
0.07285,0.96209,44.66186,1.00000,1.05288,3
0.07611,0.69022,46.37426,1.00000,0.89878,2
0.00023,1.00000,46.14397,1.00000,1.73125,0
0.03790,0.08386,45.81748,1.00000,1.73601,1
0.10222,0.42230,47.65671,1.00000,0.59198,2
0.06249,0.97500,47.00320,1.00000,0.56833,2
0.07796,0.68182,53.88077,1.00000,0.25746,2
0.05125,0.58980,46.66658,1.00000,0.66754,2
0.06414,0.59821,50.02039,1.00000,0.63132,2
0.00007,1.00000,45.50191,1.00000,1.64622,0
0.08604,0.53793,46.42718,1.00000,1.56803,3
0.09077,0.62391,45.33742,1.00000,1.42293,3
0.09867,0.54508,48.26928,1.00000,0.70608,2
0.09596,0.90674,10.16566,1.00000,0.18314,4
0.06086,0.07717,45.43266,1.00000,1.69355,1
0.08764,0.79152,47.76540,1.00000,0.15310,2
0.05489,0.69643,44.91342,1.00000,1.56413,3
0.05374,0.68079,45.55621,1.00000,0.56330,2
0.07117,0.44250,45.09397,1.00000,1.64360,3
0.00100,0.80272,45.30833,0.00000,1.66967,0
0.04151,0.96842,7.28954,1.00000,0.12805,4
0.08320,0.50847,45.51509,1.00000,1.65061,3
0.03947,0.78862,10.49225,0.00000,0.11450,4
0.00012,1.00000,44.93655,1.00000,1.75676,0
0.06469,0.05573,45.01190,1.00000,1.67403,1
0.05037,0.65395,44.97092,1.00000,1.60977,3
0.06750,0.77778,11.01569,1.00000,0.16940,4
0.06945,0.63291,8.47104,1.00000,0.15259,4
0.17726,0.02608,44.53783,0.00000,1.64623,1
0.07190,0.76680,47.17624,1.00000,0.48840,2
0.00013,1.00000,44.76324,1.00000,1.66854,0
0.04244,0.04175,45.46969,0.00000,1.66130,1
0.09745,0.44154,45.04029,1.00000,1.69851,3
0.05400,0.61696,44.79632,1.00000,1.68572,3
0.00004,1.00000,45.54759,1.00000,1.77309,0
0.10286,0.75540,8.49334,1.00000,0.12221,4
0.00000,1.00000,45.40281,1.00000,1.09141,0
0.03270,1.00000,7.30625,1.00000,0.11997,4
0.00013,1.00000,44.98766,1.00000,1.75951,0
0.04109,0.91525,45.30236,1.00000,0.73475,2
0.00207,0.42744,45.71829,0.00000,1.64802,1
0.00005,0.76923,45.37841,0.00000,1.63735,0
0.01188,0.11849,45.00675,1.00000,1.69492,1
0.02485,0.03434,46.81347,0.00000,1.65633,1
0.08372,0.55580,48.36943,1.00000,0.65448,2
0.05213,0.62903,40.93568,1.00000,0.12696,2
0.08239,0.62022,9.64661,1.00000,0.14989,4
0.00811,0.10140,45.46416,1.00000,1.71583,1
0.09226,0.90960,45.64535,1.00000,1.29927,3
0.00936,0.14480,46.29165,1.00000,1.69574,1
0.08502,0.83621,44.63873,1.00000,1.48763,3
0.01352,0.11752,45.99904,1.00000,1.72130,1
0.02054,0.04281,44.01391,1.00000,1.68314,1
0.00034,1.00000,44.80365,1.00000,1.73617,0
0.06613,0.60202,45.72656,1.00000,0.39053,2
0.08733,0.73700,46.34779,1.00000,1.57293,3
0.00012,1.00000,46.44520,1.00000,1.74354,0
0.00008,1.00000,45.49111,1.00000,1.63122,0
0.08883,0.56738,53.37364,1.00000,0.29735,2
0.00939,0.09365,44.05159,1.00000,1.67523,1
0.03458,0.98718,11.30245,1.00000,0.12670,4
0.06540,0.64973,7.94329,1.00000,0.15910,4
0.01061,0.10796,44.11436,1.00000,1.70340,1
0.10432,0.97163,45.83254,1.00000,1.36758,3
0.00153,1.00000,45.55230,1.00000,1.75037,0
0.00459,0.17070,46.29445,0.00000,1.68156,1
0.00085,0.95968,44.85909,1.00000,1.70740,1
0.00777,0.72727,45.81398,1.00000,1.69684,1
0.08753,0.41360,45.77786,1.00000,1.73826,3
0.00003,1.00000,45.30397,1.00000,1.69689,0
0.08986,0.62458,7.28195,1.00000,0.11543,4
0.08261,0.76016,8.19065,1.00000,0.14011,4
0.10482,0.06674,45.07806,1.00000,1.68085,1
0.11509,0.58046,8.68012,1.00000,0.18452,4
0.00007,1.00000,44.38800,1.00000,1.50077,0
0.09428,0.67526,44.70922,1.00000,0.37698,2
0.02788,0.03018,44.94693,0.00000,1.66671,1
0.09755,0.83453,47.99664,1.00000,0.56320,2
